Store,Total_Sales,Avg_Weekly_Sales,Std_Weekly_Sales,Size,Type,Avg_Markdown,Holiday_Sales_Avg,NonHoliday_Sales_Avg,Avg_CPI,Avg_Unemployment,Sales_Volatility_CV,Holiday_Surge_Factor,Sales_Per_SqFt,Markdown_Reliance,Cluster,PCA1,PCA2,Cluster_Rank,Cluster_Persona
1,222402808.85,21710.543620655993,27748.945510506313,151315,A,7331.79985064428,23039.386666666665,21609.634732696148,215.99552501145064,7.610918196017181,1.2781322289924248,1.0661627066350003,1469.8001444007534,0.33770687530327614,2,-0.21773456419609852,1.1570107178312503,0,Flagship Megastores (High Volume / Scale)
2,275382440.98,26898.070031256106,33077.61205860857,202307,A,10039.568900175816,28798.71052631579,26753.864226565787,215.65186905915218,7.623278765383864,1.2297392348288076,1.0764318108094162,1361.2106401656888,0.37324495344004915,2,-1.2330036697789624,1.6058314465259746,0,Flagship Megastores (High Volume / Scale)
3,57586735.07,6373.03398295706,14251.034807115779,37392,B,2460.9001372288626,6916.446287519747,6332.0986040699745,219.4028429850819,7.175602257636122,2.2361460562153415,1.0922834132986097,1540.0817038403936,0.3861426347244408,1,3.299090976898841,-1.6636300520922902,2,Compact Community & Value Stores
4,299543953.38,29161.210414719626,34583.67781417217,205863,A,9698.509734228972,30854.231416781295,29032.260569931907,128.68007016234424,5.965849201713396,1.1859479535429525,1.0627567678318786,1455.064549627665,0.33258255034597795,2,-1.1869494252095272,2.1763075512913006,0,Flagship Megastores (High Volume / Scale)
5,45475688.9,5053.4158128680965,8068.2210498118275,34875,B,2924.7841426825203,5617.212609375,5010.249172149778,216.57651613630404,6.296549283253695,1.5965876050149652,1.1211443593240185,1303.962405734767,0.5787736939135442,0,1.0390938336876856,-2.339981463411453,1,Suburban High-Efficiency Outlets
6,223756130.64,21913.243623543236,23633.42707495093,202505,A,8282.083191656056,23313.563481276004,21806.85472813488,217.5649455291842,6.606212613847811,1.078499718296362,1.0690933544169603,1104.9412638700278,0.3779487569324713,2,-1.482195603572872,1.0090062917392892,0,Flagship Megastores (High Volume / Scale)
7,81598275.14,8358.76614833026,10679.00808469101,70713,B,4963.456232329441,9730.828726483358,8254.246774335796,193.67174027215736,8.585175271460766,1.2775818697624695,1.1788875448877654,1153.9359826340276,0.5938024988751375,0,-0.7105912655768741,-2.360173523530494,1,Suburban High-Efficiency Outlets
8,129951181.13,13133.014768064679,15132.069597645474,155078,A,6357.23939464376,14013.374425287358,13066.4064061311,219.4384744387064,6.091934108135422,1.1522159888559527,1.0724734849810873,837.9730273152865,0.4840655022532901,0,-1.0280419652871027,-0.6521125203663561,1,Suburban High-Efficiency Outlets
9,77789218.99,8772.890378933122,12446.502614180814,125833,B,3498.0330077816625,9423.213136,8723.57568308663,219.68364131026277,6.095641930754483,1.4187459407984127,1.0802007648615726,618.1941063949838,0.3987320999923107,0,0.008841907313821857,-1.4988997017703565,1,Suburban High-Efficiency Outlets
10,271617713.89,26332.303818710614,32133.006264049385,126512,B,9469.293853611245,29195.524157458567,26116.166656240224,128.6641618140475,8.371005041202134,1.2202884519818216,1.1179100107060873,2146.9719385512835,0.3596074963743466,2,-0.31110254528326825,1.8070709294952783,0,Flagship Megastores (High Volume / Scale)
